domain,name,key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,sources,first_seen
adevinta.com,Adevinta,accept,Netherlands,Amsterdam,775,1800000000,,2018,Digital marketplaces,"Adevinta is a leading online classifieds group and champion for sustainable commerce across Europe and beyond.  With digital marketplaces across many countries, our portfolio spans consumer goods, mobility, real estate, holiday rentals and jobs. Together, our marketplaces attract more than 120 milli","Marketplace operator in Netherlands, right headcount, runs 30+ Kubernetes clusters serving high request volume per talk.",eval_combined;eval_proof-form3;eval_proof-form3-p,2026-09-04T18:02:08.266697+05:30
adyen.com,Adyen,accept,Netherlands,Amsterdam,4487,,,2006,Financial services,"Adyen (AMS: ADYEN) is the financial technology platform of choice for leading companies. By providing end-to-end payments capabilities, data-driven insights, and financial products in a single global solution, Adyen helps businesses achieve their ambitions faster. With offices around the world, Adye","Fintech platform, Amsterdam, 4487 staff, runs Cilium CNI across 100+ in-house Kubernetes clusters.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
appdirect.com,AppDirect,accept,United States,San Francisco,763,281000000,754502250,2009,,"AppDirect is a San Francisco-based B2B subscription commerce platform company that brings together technology providers, advisors, and businesses to simplify how they buy, sell and manage technology. More than 1,000 providers, 10,000 advisors and 5 million subscribers rely on the AppDirect ecosystem",Blog confirms in-house Kubernetes/microservices since 2016 operated by AppDirect's own engineering team for its marketplace platform.,eval_lean,2026-09-04T18:49:41.522112+05:30
asos.com,ASOS.com,accept,United Kingdom,London,2521,,,2000,Online fashion retail,"We exist to give people the confidence to be whoever they want to be, and that goes for our people too. At ASOS, you’re free to be your true self without judgment, and channel your creativity into a platform used by millions.  Whatever your role, ASOS will encourage you to be you, fulfilling your cr","ASOS is a UK e-commerce retailer with in-house engineers running AKS services, matching size and vertical requirements.",eval_judge-next-slice,2026-09-04T17:41:22.159616+05:30
athenahealth.com,athenahealth,accept,United States,Boston,6409,1220300000,17153000000,1997,Healthcare technology,"athenahealth strives to cure complexity and simplify the practice of healthcare. Our innovative technology includes electronic health records, revenue cycle management, and patient engagement solutions that help healthcare providers, administrators, and practices eliminate friction for patients whil","Healthcare SaaS, 6409 employees in Boston, production EKS clusters managed in-house per AWS blog; no cert-mgmt data.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
bet365.com,bet365,accept,United Kingdom,Stoke-on-Trent,5136,,,2000,Online gambling,"We’re one of the world’s leading online gambling companies, revolutionising the industry since 2000. Founded by Denise Coates CBE, we now employ over 10,000 people and serve over 120 million customers in 26 languages.    We empower our employees to push boundaries and explore new ideas, cultivating ","UK online gambling operator, ~5136 staff, runs Go core services on Kubernetes/GKE; no PKI detail found.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
blog.gov.uk,Government Digital Service,reject:no-such-event,United Kingdom,London,743,,,2011,,"The Government Digital Service (GDS) is the digital centre of government — we are responsible for setting, leading and delivering the vision for a modern digital government.  Our priorities are to drive a modern digital government, by:  1. joining up public sector services 2. harnessing the power of","GDS is a UK public-sector digital agency (743 staff) running a Kubernetes/Istio platform with manual mTLS/HSM config, in-house.",eval_judge-x4,2026-09-04T16:56:05.836096+05:30
bmwgroup.com,BMW Group,reject:unreachable,Germany,Munich,33715,133500000000,,1916,Automotive manufacturing,"With its four brands, BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial services. The BMW Group production network comprises over 30 production sites worldwide; the company has a globa","Automotive manufacturer with 33,715 employees in Germany; evidence shows large-scale multi-region EKS/service mesh operations.",eval_baseline,2026-09-04T16:01:49.671831+05:30
clear.bank,ClearBank,accept,United Kingdom,London,552,,627412880,2015,,Leading brands – from fintechs and banks to digital asset platforms and large-scale corporates – use our API to benefit from our fully regulated banking infrastructure and real-time payments access.,"UK regulated banking infrastructure, 552 employees; case study shows AKS-based microservices run by in-house infra teams, no PKI mention.",eval_angles-4;eval_baseline;eval_judge-x4,2026-09-04T17:21:54.525496+05:30
datadoghq.com,Datadog,accept,United States,New York,7607,3427158000,1665900000,2010,Enterprise software,"Datadog is the essential monitoring platform for cloud applications. We bring together data from servers, containers, databases, and third-party services to make your stack entirely observable. These capabilities help DevOps teams avoid downtime, resolve performance issues, and ensure customers are ","Cloud monitoring SaaS, 7607 employees in New York, production Kubernetes incident detailed on own engineering blog; no cert-mgmt data.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
dexcom.com,Dexcom,accept,United States,San Diego,5024,4662000000,2163909019,1999,Medical devices,"Empowering People to Take Control of Health  Dexcom Corporation (NASDAQ DXCM) has been a pioneer in glucose sensing for more than 25 years. Since 1999, we have developed innovative technologies that transformed how people manage diabetes. Our products are part of people’s daily lives, empowering the","Medical device maker with GKE-based cloud engineering team; headcount and location fit, but no PKI or downtime-reporting evidence.",eval_baseline;eval_proof-form3;eval_proof-form3-p,2026-09-04T16:05:05.129506+05:30
draftkings.com,DraftKings Inc.,accept,United States,Boston,4387,6054525000,2637710382,2012,Online sports betting,"It's simple, we believe life is more fun when you're in on the action. For that reason, we’re committed to responsibly creating the world’s favorite games and betting experiences.  At DraftKings, The Crown Is Yours.   We are driven by the thrill of the future and the pull of possibility. As an origi","Online sportsbook, Boston, 4387 staff, ledger traffic runs synchronously across Kubernetes/EKS clusters.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
edreamsodigeo.com,eDreams ODIGEO,accept,Spain,Barcelona,1724,,,2000,Online travel,"eDreams ODIGEO is the world’s leading travel subscription platform. It pioneered Prime, the first and largest travel subscription programme, which has topped over 8 million members since launching in 2017. Prime members are subscribed to global travel, gaining access to a comprehensive multi-product","Travel subscription platform, 1724 employees in Barcelona, multi-cluster Kubernetes per careers page; no cert-mgmt data.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
elisa.com,Elisa,accept,Finland,Helsinki,2159,,,1882,Telecommunications,"Tehtävämme on tehdä digitaalisesta elämästä sujuvampaa. Vähentää kitkaa, karsia hälinää ja lisätä luottamusta. Jotta jokaiselle vapautuu enemmän tilaa onnellisuudelle. Yhtä lailla töissä kuin vapaa-ajalla.​ ​ Tervetuloa tutustumaan tekoihimme, ideoihimme ja ihmisiimme.​ ​ ---​ ​ We're here to make d","Finnish telecom, 2159 employees; case study shows containerised Kubernetes AAA system for Tier 1 operator.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
eonenergy.com,E.ON UK,,United Kingdom,coventry,1489,,,1989,Energy utilities,"It's on us to make new energy work.  We’re E.ON UK, leading the energy transition for a more sustainable future. As part of the E.ON group, we’re also one of Europe’s largest operators of energy networks and energy infrastructure, and a provider of innovative customer solutions.  Through E.ON Next, ","E.ON UK is an energy utility of qualifying size presenting at KubeCon about its tech foundation, but ownership details unstated.",eval_judge-next-slice,2026-09-04T17:41:22.159616+05:30
geotab.com,Geotab,accept,Canada,Oakville,2535,666900000,,2000,Fleet management,"Geotab is a global leader in connected vehicle and asset management solutions, with headquarters in Oakville, Ontario and Atlanta, Georgia. Our mission is to make the world safer, more efficient, and sustainable. We leverage advanced data analytics and AI to transform fleet performance and operation","Automotive fleet company, North American mid-size firm, blog shows in-house Kubernetes/Istio use; no cert evidence.",eval_reprove-missing,2026-09-04T16:29:59.372541+05:30
gitlab.com,GitLab,accept,United States,San Francisco,2335,955224000,1278625000,2014,DevOps software,"GitLab is the Intelligent Orchestration Platform where software teams and their AI agents stay in flow to amplify their capacity for innovation. Together, they automate repetitive tasks to plan, build, secure, test, deploy and maintain software. With GitLab, software teams spend less time on coordin","GitLab is a SaaS DevOps platform, 2335 staff in SF, runs Kubernetes-based infra for its own customers.",eval_proof-form3;eval_proof-form3-p,2026-09-05T09:09:38.145991+05:30
gocardless.com,GoCardless,reject:no-such-event,United Kingdom,London,668,,634300000,2011,,"Welcome to the new era of payments. Collect one-off, automated, or recurring payments – directly from your customer's bank account to yours. Putting an end to late payments, chasing customers, stress, and expensive fees. It's just cash, flowing from one account to another. Join 100,000 businesses of","UK payments fintech, 668 employees, direct customer relationship, in-house team built container/Kubernetes platform; no cert-management evidence.",eval_angles-4;eval_proof-form3,2026-09-04T17:21:54.525496+05:30
gomotive.com,Motive,accept,United States,San Francisco,6246,,,2013,Fleet management,"Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system.   We serve nearly","Fleet SaaS platform, 6246 employees in US, in-house Kubernetes engineering evidenced by Medium blog; no cert-mgmt data.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
grammarly.com,Grammarly,accept,United States,San Francisco,701,251800000,1400000000,2009,Business software,"Grammarly stands with Ukraine. We invite you to do the same. Here are some ways you can help: gram.ly/WeStandWithUkraine  --- Grammarly is the world’s leading AI writing assistance company trusted by over 40 million people and 50,000 organizations every day. From instantly creating a first draft to ","SaaS writing tool, 701 employees in San Francisco, in-house Kubernetes data plane per engineering blog; no cert-mgmt data.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
