company_domain,company_name,name,title,linkedin_url,key_label,location,status,sources
bunnings.com.au,Bunnings,Aaron Boatwright,Head of Technology Infrastructure,https://linkedin.com/in/aaron-boatwright-8608041bb,accept,"Perth, Australia",verified,eval_proof-mstone-p
aldicareers.com.au,ALDI Stores Australia,Alex Richards,Managing Director National IT,https://linkedin.com/in/alex-richards-7572313b,accept,"Sydney, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Alistair Simpson,Head of Technology - Service Management,https://linkedin.com/in/alistair-simpson-4b94123,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Andrew Grech,Director IT Engineering & Operations,https://linkedin.com/in/andrew-grech-b214045,accept,"Sydney, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Anthony Carnovale,Head of Technology Planning & Performance,https://linkedin.com/in/anthony-carnovale-b045b287,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
costagroup.com.au,International Fresh Produce Association Australia New Zealand,Arpan R.,Head of Data and Integrations,https://linkedin.com/in/arpanrana,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bigw.com.au,BIG W,Ashok Jayaprakash,Head of Data & AI Engineering,https://linkedin.com/in/ashokmj3,accept,"Sydney, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Ben Youl,Head of Technology - Commercial & Liquor,https://linkedin.com/in/ben-youl-888763a9,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Brent Whelan,"Head of Technology, AI and Data Engineering",https://linkedin.com/in/brentwhelan,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
metcashcareers.com,Metcash,Brian Townshend,Chief Information Officer - Food & Liquor,https://linkedin.com/in/brian-townshend-4350034,accept,"Noosa Heads, Australia",verified,eval_proof-mstone-p
aldicareers.com.au,ALDI Stores Australia,Chris Helderman MACS CP,National IT Director,https://linkedin.com/in/chris-helderman-macs-cp-a7395153,accept,"Sydney, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Chris Napoli,Group Head of Core Retail Technology (General Manager),https://linkedin.com/in/cnapoli,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Dafina Zdravkovski,Head of Enterprise Application Technology,https://linkedin.com/in/dafina-zdravkovski-23b9b9a,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
metcashcareers.com,Metcash,Daniel Dos Santos,Head of Technology Services,https://linkedin.com/in/daniel-dos-santos-4537387a,accept,"Sydney, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,David Grozdan,Head of IT ‐ Manufacturing,https://linkedin.com/in/david-grozdan-1355b03b,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Elzanne van der Westhuizen,Head of Technology - eCommerce Services,https://linkedin.com/in/elzanne-van-der-westhuizen-0ba53933,accept,"Exford, Australia",verified,eval_proof-mstone-p
metcashcareers.com,Metcash,Eric Baker,Head of Technology Retail Media,https://linkedin.com/in/eric-baker-b86946356,accept,"Australia, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Ettienne Gous,Head of Engineering - Digital Platforms,https://linkedin.com/in/ettiennegous,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Genevieve Elliott,Chief Information Officer,https://linkedin.com/in/genevieve-elliott,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
davidjones.com.au,David Jones,Hugh Fahy,Chief Technology Officer,https://linkedin.com/in/hughfahy,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Ian Westlake,Head Of Technology - Supply Chain Logistics,https://linkedin.com/in/ian-westlake-8788a03,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
kmart.com.au,Kmart Australia Limited,Ivan Anissimov,Head of Technology Operations and Service Management,https://linkedin.com/in/ivan-anissimov-92214286,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Ivan Dretvic,IT Director of Enterprise Services and Architecture,https://linkedin.com/in/ivandretvic,accept,"Sydney, Australia",verified,eval_proof-mstone-p
costagroup.com.au,International Fresh Produce Association Australia New Zealand,John Zuniga,Head of Information Technology,https://linkedin.com/in/jaizee,accept,"Docklands, Australia",verified,eval_proof-mstone-p
chemistwarehouse.com.au,Chemist Warehouse,Joe Razavi,Head of Information Technology Operations,https://linkedin.com/in/joe-razavi-ab08813,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Joseph Sette,Head of Digital & Technology (QuiteLike),https://linkedin.com/in/jsette,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Karen Sue,"Head of Technology, Workplace Services",https://linkedin.com/in/karen-sue-24b20637,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
globalretailbrands.net,Global Retail Brands Australia,Karl Neubauer,Chief Information Officer,https://linkedin.com/in/karlneubauer,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
davidjones.com.au,David Jones,Karuna Panuganti,Head of Engineering (Quality and Release),https://linkedin.com/in/karuna-panuganti-11428b13,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
kmart.com.au,Kmart Australia Limited,Kevin Boots,Head of Engineering and Delivery,https://linkedin.com/in/kevin-boots-3173611,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Kris Ellis,Chief Information Officer,https://linkedin.com/in/kris-ellis-a53a16,accept,"Sydney, Australia",verified,eval_proof-mstone-p
arnotts.com,The Arnott's Group,Jari Laurikainen,"IT Director, Enterprise Applications at The Arnott's Group",https://linkedin.com/in/laurikainen-jari,accept,"Sydney, Australia",verified,eval_proof-mstone-p
harrisfarm.com.au,Harris Farm Markets,Leonard Rajeev Rawat,"Head - Infrastructure, Security & Operations",https://linkedin.com/in/leonard-rajeev-rawat,accept,"Sydney, Australia",verified,eval_proof-mstone-p
kmart.com.au,Kmart Australia Limited,Manish Goel,Head of Corporate Systems,https://linkedin.com/in/manish-goel-5b4b5816,accept,"Officer South, Australia",verified,eval_proof-mstone-p
aldicareers.com.au,ALDI Stores Australia,Marc Stephan,Group Director IT and Project Management @ ALDI Stores,https://linkedin.com/in/marc-stephan-69ab59a8,accept,"Sydney, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Marina Cavka,Head of Platform Engineering and Operations,https://linkedin.com/in/marina-cavka-70a278,accept,"Perth, Australia",verified,eval_proof-mstone-p
countryroadgroup.com.au,Country Road Group,Michael Hua,"Head of IT: Merchandise, Supply Chain & Enterprise Applications",https://linkedin.com/in/michael-hua-7003b021,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
arnotts.com,The Arnott's Group,Michael Morley,Director IT Operations,https://linkedin.com/in/morleym,accept,"Brisbane, Australia",verified,eval_proof-mstone-p
bapcor.com.au,Bapcor Limited,Morris L.,Chief Technology Officer,https://linkedin.com/in/morrislieberman,accept,"Kew, Australia",verified,eval_proof-mstone-p
metcashcareers.com,Metcash,Neil Whiteing,Group Chief Information Officer,https://linkedin.com/in/neil-whiteing-732a,accept,"Australia, Australia",verified,eval_proof-mstone-p
kmart.com.au,Kmart Australia Limited,Nick Dimitropoulos,Head of Operations (Technology),https://linkedin.com/in/nick-dimitropoulos-699a995,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Nicolas Brunelli,Head of Technology Management,https://linkedin.com/in/nicolas-brunelli-78747422,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
metcashcareers.com,Metcash,Nicole Hogan,Head of Retail Technonlgy Food and Liquor for Retailers at Metcash,https://linkedin.com/in/nicole-hogan-49680a190,accept,"Perth, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Nicole Stearman,Head of Technology - Store Operations,https://linkedin.com/in/nicole-stearman-923a7286,accept,"Brisbane, Australia",verified,eval_proof-mstone-p
