company_domain,company_name,name,title,linkedin_url,key_label,location,status,sources
swoopfunding.com,SVV (Sure Valley Ventures),Alastair Woods,Chief Financial Officer | Chief Product Officer,https://linkedin.com/in/alastairstuartwoods,accept,"London, United Kingdom",verified,eval_domainp;eval_sizep2
emberfund.io,Ember,Alex W.,Co-Founder | CEO,https://linkedin.com/in/alex-w-2447b716,accept,"Los Angeles, United States",verified,eval_profilep;eval_sizep2
bethog.com,Sentient Studios,Cameron Boal,Chief Marketing Officer,https://linkedin.com/in/camboal,accept,"United Kingdom, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
swoopfunding.com,SVV (Sure Valley Ventures),Charlotte Forsberg,Head of Marketing / CMO,https://linkedin.com/in/charlotte-forsberg-86239312,accept,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep2
swan.com,Swan Bitcoin,Cory Klippsten,CEO,https://linkedin.com/in/coryklippsten,accept,"Calabasas, United States",verified,eval_basep;eval_domainp;eval_profilep
midnite.com,Midnite,Daniel Qu,Founder,https://linkedin.com/in/danielq,reject:not-buyer,"London, United Kingdom",verified,eval_domainp;eval_profilep;eval_proof-ondato
midnite.com,Midnite,Dave P.,Head of Product - Sportsbook Platforms,https://linkedin.com/in/dave-p-96694567,accept,"Harrogate, United Kingdom",verified,eval_domainp;eval_profilep;eval_sizep
lemfi.com,LemFi,Donal Whelan,CEO & Executive Director - LemFi Europe,https://linkedin.com/in/dowhelan,accept,"Ireland, Ireland",verified,eval_profilep;eval_proof-ondato
mypryme.com,Pryme,Edoka Idoko,Chief Executive Officer,https://linkedin.com/in/edokaidoko,accept,"United Kingdom, United Kingdom",verified,eval_proof-ondato
killingkittens.com,Killing Kittens,Emma Sayle,Founder & CEO,https://linkedin.com/in/emmasayle,accept,"London, United Kingdom",verified,eval_proof-ondato
thursday.com,Thursday,George Rawlings,Co-Founder,https://linkedin.com/in/george-rawlings-32b726112,reject:not-buyer,"United Kingdom, United Kingdom",verified,eval_proof-ondato
kontigo.lat,Kontigo (YC S24),Gino Guatavita,Co-Founder & President,https://linkedin.com/in/gino-guatavita-7269139b,accept,"San Francisco, United States",verified,eval_proof-ondato
getcrescent.com,Crescent Cares,Grant Roscoe,CEO & Founder,https://linkedin.com/in/grantroscoe,accept,"San Francisco, United States",verified,eval_proof-ondato
emberfund.io,Ember,Guillaume Torche,"Co-Founder, CTO",https://linkedin.com/in/guillaume-torche-4a209790,reject:not-buyer,"Los Angeles, United States",verified,eval_basep
emberfund.io,Ember,Hayden Todd,Head of Product & Design,https://linkedin.com/in/hayden-todd-a52194113,accept,"Los Angeles, United States",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
plend.com,The Money Platform,James Pursaill,CEO and Co-Founder,https://linkedin.com/in/james-pursaill-83b1831ba,accept,"London, United Kingdom",verified,eval_basep;eval_proof-ondato
swan.com,Swan Bitcoin,Jeremy Showalter,Co-Founder,https://linkedin.com/in/jeremy-showalter-272424,accept,"Redmond, United States",verified,eval_basep;eval_domainp;eval_profilep
kontigo.lat,Kontigo (YC S24),Jesus Castillo,CEO & Co-Founder,https://linkedin.com/in/jesus-castillo-81a58b186,accept,"San Francisco, United States",verified,eval_proof-ondato
linkedfinance.com,Linked Finance,John O'Neill,CEO and Co-founder,https://linkedin.com/in/johnroneill,accept,Ireland,verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato
midnite.com,Midnite,Jonathan Shaw,"VP, Growth",https://linkedin.com/in/jonathan-shaw-26120118,accept,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
thursday.com,Thursday,Josh Hine,Head Of Growth Marketing,https://linkedin.com/in/joshhine,accept,"Maidstone, United Kingdom",verified,eval_proof-ondato
muddymatches.co.uk,muddymatches.co.uk,Lucy Reeves,Owner,https://linkedin.com/in/lucy-reeves-8b69337,accept,"Greater Northampton Area, United Kingdom",verified,eval_proof-ondato
emberfund.io,Ember,Mario L.,Co-Founder,https://linkedin.com/in/mario-l-52603783,accept,"Los Angeles County, United States",verified,eval_basep
thursday.com,Thursday,Matthew Xavier Hunter,Founder,https://linkedin.com/in/matthew-xavier-hunter-73786966,reject:not-buyer,"Brooklyn, United States",verified,eval_proof-ondato
thursday.com,Thursday,Matthew McNeill Love,Co-Founder,https://linkedin.com/in/matthewmcneilllove,reject:not-buyer,"London, United Kingdom",verified,eval_proof-ondato
midnite.com,Midnite,Mike Laryea,Head of Product,https://linkedin.com/in/mike-laryea-96852025,accept,United Kingdom,verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2
creditspring.co.uk,Creditspring,Neil Kadagathur,Co-Founder and CEO,https://linkedin.com/in/neil-kadagathur-30316767,reject:not-buyer,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato
midnite.com,Midnite,Nick Wright,Founder,https://linkedin.com/in/npearsonwright,reject:not-buyer,United Kingdom,verified,eval_domainp;eval_profilep;eval_proof-ondato
linkedfinance.com,Linked Finance,Peter O'Mahony,Founder,https://linkedin.com/in/peteromahony,accept,Ireland,verified,eval_profilep;eval_proof-ondato
creditspring.co.uk,Creditspring,Puja Rohra,Head of Marketing,https://linkedin.com/in/puja-rohra-75687963,accept,"London, United Kingdom",verified,eval_basep;eval_profilep;eval_proof-ondato
lendwise.com,Lendwise,Rishi Z.,Co-Founder & CEO,https://linkedin.com/in/rishi-z-2a22a7,accept,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep2
creditspring.co.uk,Creditspring,Sabrina Loi,Chief Product Officer,https://linkedin.com/in/sabrinaloi,accept,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2
midnite.com,Midnite,Sam Talbot,VP Product,https://linkedin.com/in/sam-talbot-766a5530,accept,"Leeds, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
teaserssports.com,Compound Operators,"Samuel Esserman, CSM",Co-Founder | CTO,https://linkedin.com/in/samuel-esserman,reject:not-buyer,"United States, United States",verified,eval_domainp;eval_profilep;eval_sizep2
altify.app,Altify,Sean Sanders,Founder & CEO,https://linkedin.com/in/sean-sanders-382992108,accept,"London, United Kingdom",verified,eval_proof-ondato
afriex.com,Afriex,Tope Alabi,Co-Founder,https://linkedin.com/in/temitope-alabi-39619b78,reject:duplicate,"United Kingdom, United Kingdom",verified,eval_proof-ondato
afriex.com,Afriex,Tope Alabi,Co-Founder,https://linkedin.com/in/topealabi,accept,"United Kingdom, United Kingdom",verified,eval_basep;eval_domainp
emberfund.io,Ember,Trishul Patel,Chief Product Officer,https://linkedin.com/in/trishul-patel-61b0a68,accept,"New York, United States",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
